,Dni,Nom,Curso
129,E23616857,Marc Luz Casas,D
130,N4056672A,Carmen Emma Iñiguez Azcona,B
131,D62147475,Josep Blázquez,C
132,G56742331,Max Llano Bertrán,E
133,U9908499H,Laura de Villegas,D
134,C78976982,Pau del Avilés,D
135,R4624337D,Anna del Otero,A
136,G73658932,Laura Bilbao Sala,D
137,D05154323,Paula Tomás Bello,A
138,B31484074,Jordi Cuenca Blanes,C
139,N2795608E,Èric de Bustamante,C
140,U9908499H,Laura de Villegas,C
141,H34827741,David Olivares-Julián,C
142,W9218380E,Pol del Sanjuan,A
143,G89205264,Montserrat Carla Lobato Salamanca,A
144,Q2116390B,Francisca Marta Arias Ferrero,D
145,N0515267C,Noa Ochoa Bartolomé,F
146,N8631109I,Francisca Martina Rodríguez Hoyos,F
147,A04422861,Francisca Rubio Paredes,D
148,H47198551,Marta Goicoechea Mercader,D
149,H48271738,Laia Oliveras Puente,D
150,E65877607,Antonia Carlos Valderrama,A
151,E50536853,Max Aragonés Cabello,D
152,G61008355,Arlet Lladó Diego,D
153,S0662896J,Álex Julián Cervantes,B
154,J9643335D,Juan Maldonado Mayol,C
155,J9446526G,Marta Águila Cervantes,E
156,H31037914,Laura Llorente Olivares,A
157,D18702910,Marc Villar Nicolás,C
158,U0476516J,Isabel Miró Arana,A
159,U7611560I,Álex Navas Granados,B
160,U7558214H,Núria Alegre-Roma,C
161,B88818059,Martina María Carreño Villaverde,B
162,G08270886,José María de Galvez,F
163,G99523896,Pau Ros Pallarès,B
164,C56963325,Abril Díez,F
165,N2423224A,Biel de Guitart,D
166,C78976982,Pau del Avilés,C
167,A53234324,Marc Navas Bermúdez,B
168,G65300782,Juan Rodrigo-Mercader,C
169,D89560940,Xavier de Ribes,D
170,C94387792,Paula Rosa Perea,E
171,E50536853,Max Aragonés Cabello,C
172,C80754989,Ana Lucia Montoya Requena,C
173,E56877343,Martí Iglesias Espejo,D
174,H04319513,Lucia Castells Huerta,D
175,Q7186100I,Èric Cifuentes,F
176,S0085490A,Ona Salvà Pizarro,E
177,F2328450H,Pol Bosch Sanabria,B
178,D64321540,María Dolores del Boada,F
179,D14737068,Paula Villalba Alcázar,C
180,P2617169D,Cristina Yáñez Girón,F
181,W0083928B,Sara Gil Jordán,A
182,G71220651,Júlia Gras Porta,D
183,N8243349A,Paula Sáez Ripoll,D
184,S3651419H,Enzo Carnero-Aliaga,B
185,C78976982,Pau del Avilés,E
186,U9908499H,Laura de Villegas,B
187,B41571647,Mia Escudero Galan,B
188,Q0552283D,Clàudia Verdú-Montalbán,A
189,C80754989,Ana Lucia Montoya Requena,D
190,U7558214H,Núria Alegre-Roma,F
191,B64747389,Èric Roman Mena,E
192,F0005249H,Arnau Huguet Chaparro,B
193,P5810009J,Ramón Donoso Aguilar,E
194,G96947643,María Del Carmen Esparza Godoy,B
195,B41571647,Mia Escudero Galan,C
196,H59430249,Júlia Aramburu Delgado,D
197,P8832380C,María Dolores Luz-Pera,C
198,H02560167,Enzo Quesada,B
199,W8974025B,Dolores Mayol Cabrero,B
200,P6057674A,María Del Carmen Valèria Raya Mena,A
201,V8982148B,Carlos Carlos Espejo,D
202,Q4287906D,José Pou Cobo,A
203,P2473520A,Sílvia Carnero Bas,E
204,W4799866A,Manuel Cózar Albero,D
205,Q5328944C,Xavier Carrillo Iglesia,C
206,G26285767,Hugo del Núñez,C
207,R6463216I,Ona Ona Roma Prieto,A
208,A84080670,Joan de Olmedo,E
209,W4345678I,Leo Franco Nieto,E
210,A94992674,Nil del Roselló,D
211,P3531278D,Èric de Agustí,C
212,F8243580A,Montserrat Saez Sabater,C
213,J8863857B,Rosa Alberola Coll,F
214,B37939139,Josep Casanovas Vázquez,D
215,W4359932C,Dolores del Miguel,E
216,S7995912H,Josefa Laura Llorens Villanueva,C
217,V3380673H,Enzo Alberdi Sainz,B
218,G73658932,Laura Bilbao Sala,F
219,G73658932,Laura Bilbao Sala,F
220,F6441455J,Carla Hernández Estrada,C
221,Q9766397E,Francisco de Cabezas,E
222,D78897097,Núria Verdejo Arteaga,A
223,P1659317J,Hugo Castrillo Otero,F
224,J9967593F,Nil Patiño-Perea,A
225,Q3443120E,Emma Aina Fábregas Moll,B
226,B82071457,Noa Coello Mendoza,D
227,N0515267C,Noa Ochoa Bartolomé,F
228,B37939139,Josep Casanovas Vázquez,D
229,P5810009J,Ramón Donoso Aguilar,E
230,A04422861,Francisca Rubio Paredes,F
231,W4359932C,Dolores del Miguel,A
232,V2447244A,Jordi Vilar Fortuny,B
233,Q0041000A,David Chaves Cantero,F
234,S7366447F,Carlos Crespi Perales,B
235,S8651023G,Adam Pombo Palomo,E
236,P7187021F,Antònia Paula Juliá Jaén,F
237,N2518597F,Noa de Grande,F
238,P0078682B,María Del Carmen del Belda,F
239,F5675046F,José Carballo Gutierrez,D
240,J2907838C,Carmen Marta Cruz Carpio,B
241,W9218380E,Pol del Sanjuan,E
242,Q4232915A,Antònia Colomer Blanca,D
243,W1247153H,Martina Nuñez Estevez,B
244,Q2116390B,Francisca Marta Arias Ferrero,E
245,H70835210,Joan de Cañas,D
246,S0085490A,Ona Salvà Pizarro,E
247,F2776503A,Francisca Ureña,F
248,R5336309I,Rosa Torralba Rozas,C
249,C49543051,Pau Caro Gallego,E
250,H60091485,Sofía Collado Botella,F
251,H78024064,Max Quintana-Morales,C
252,E55193205,Laia Boix Montenegro,E
253,G65300782,Juan Rodrigo-Mercader,D
254,W4284402G,Mia Ona Tirado Herranz,E
255,G65300782,Juan Rodrigo-Mercader,E
256,W4359932C,Dolores del Miguel,A
257,B52401858,José Buendía-Sarabia,F
258,H78024064,Max Quintana-Morales,E
259,E96573001,Sara Gárate Nuñez,F
260,C06753156,Lucas Paniagua Llano,B
261,P9008815D,Xavier Robledo Arroyo,A
262,P2473520A,Sílvia Carnero Bas,D
263,D98780919,María Teresa Aznar-Perez,C
264,N5111030B,Carlos Ramírez Benavent,B
265,E73982548,Júlia Palomino Company,C
266,U4804259B,Max Goñi Dávila,F
267,C28777001,Ana Vidal Lamas,E
268,N2845937H,Montserrat Manzanares-Herrero,F
269,G07621824,Sara Ángel Nieto,A
270,Q0552283D,Clàudia Verdú-Montalbán,D
271,N2759694I,María Dolores Júlia Montenegro Ramón,A
272,J5155116F,Júlia Abellán-Pou,E
273,G24609380,Júlia Miralles-Boada,E
274,W1796907B,Mia Abellán Pulido,E
275,E99188005,Biel Alcalde Samper,B
276,C14434534,María Teresa del Villalonga,A
277,A09069840,Leo Abellán,F
278,A13684352,Leo Adam Saavedra Verdejo,D
279,N7359672H,Daniel Bartolomé Vilar,E
280,D78897097,Núria Verdejo Arteaga,F
281,J2410709F,Júlia Montenegro Muro,B
282,N3504030B,Antònia Marquez Rebollo,F
283,E25161068,Marta Oliver Alfaro,D
284,N6853244I,Bruno del Canales,A
285,H70835210,Joan de Cañas,F
286,D77234466,Enzo Albert Roselló Castejón,F
287,C56963325,Abril Díez,B
288,G71220651,Júlia Gras Porta,B
289,W4699949F,Mia Catalán Barros,D
290,R5336309I,Rosa Torralba Rozas,E
291,C28142149,Aleix Moya Collado,F
292,V4055410G,Clàudia Lobo,C
293,A42249482,Marta del Bernat,E
294,D05154323,Paula Tomás Bello,A
295,S8641797I,Aina Pi Trujillo,D
296,S6417982C,Arnau Gonzalo-Barrios,E
297,P6579449G,Laura Manjón Barón,B
298,C99290520,Antònia Baró-Elías,F
299,P3012798I,Hugo Rueda,E
300,H23073786,Anna Armas Moles,F
301,A09069840,Leo Abellán,A
302,R5336309I,Rosa Torralba Rozas,C
303,H78024064,Max Quintana-Morales,F
304,H45996352,Antonia Canals Coloma,A
305,Q0041000A,David Chaves Cantero,B
306,C12466413,Laia Lucia Heras Bermejo,A
307,B43465343,Hugo Alberto Girón,E
308,Q7186100I,Èric Cifuentes,A
309,P7256844G,Mia Giménez Carlos,E
310,G24609380,Júlia Miralles-Boada,B
311,P1659317J,Hugo Castrillo Otero,C
312,G08270886,José María de Galvez,E
313,J6049614H,Júlia Sevillano Palomar,D
314,N7090594H,Chlóe Plana Echevarría,D
315,Q7186100I,Èric Cifuentes,B
316,J8918438F,Francisco Roldan,F
317,N6468272G,Joan Ortuño Segura,A
318,J1443172J,Pau Javier Lara Tur,A
319,Q5328944C,Xavier Carrillo Iglesia,E
320,C06753156,Lucas Paniagua Llano,C
321,V8982148B,Carlos Carlos Espejo,D
322,U0533919G,Carla Pi Falcó,C
323,N5426927I,Aleix Cervera Alfaro,A
324,N2423224A,Biel de Guitart,C
325,J1443172J,Pau Javier Lara Tur,B
326,B48122808,Sara Jaume Lobo,F
327,D64321540,María Dolores del Boada,C
328,G54830989,Sofía Mateo Alemany,A
329,H75562959,Bruno Lozano Galan,F
330,G61008355,Arlet Lladó Diego,A
331,P2302883J,Èric Font Vargas,D
332,A94992674,Nil del Roselló,D
333,R1153706E,Carlos Capdevila,F
334,C28777001,Ana Vidal Lamas,C
335,C06753156,Lucas Paniagua Llano,D
336,U4212659I,Xavier Vicente Meléndez,D
337,Q7554170F,José María Cuenca-Pera,C
338,B27774157,Jordi Revilla,D
339,J9643335D,Juan Maldonado Mayol,A
340,V7809521C,Antònia Anna Saez Belda,B
341,H70835210,Joan de Cañas,A
342,C28777001,Ana Vidal Lamas,E
343,S8651023G,Adam Pombo Palomo,B
344,C81417628,Núria Martín,E
345,F9340007E,Chlóe Moliner,C
346,G36745990,Marc Blanco Valderrama,B
347,C12466413,Laia Lucia Heras Bermejo,A
348,Q9514578E,Anna Benítez Rovira,B
349,G26937243,Josefa Moll Piñeiro,C
350,F4119576I,Carlos Mayoral Cervantes,A
351,C95560819,Biel Hierro Salom,A
352,F5675046F,José Carballo Gutierrez,B
353,N2845937H,Montserrat Manzanares-Herrero,A
354,C75059956,Jorge Baena,C
355,E85913895,Álex Juliá Cantón,A
356,S8355279D,Antonia Bermejo Bayo,A
357,G89205264,Montserrat Carla Lobato Salamanca,C
358,P0078682B,María Del Carmen del Belda,D
359,C17131251,Lucia Uribe,A
360,Q7967239J,Paula Agustín Gimeno,F
361,P0280894G,Leo Gaya Laguna,C
362,R4624337D,Anna del Otero,F
363,J7285606E,Emma Pallarès-Colom,A
364,U0847812E,Abril Andres Herrera,E
365,S9346078J,Francisco Pareja Peinado,D
366,H36110567,Laia Castell Llobet,C
367,D43493675,Èric Marin Comas,E
368,P7855416I,Leo Bustamante Zapata,D
369,G90306762,Èric Blázquez Gil,B
370,A90436353,Júlia Saura-Colomer,C
371,H31037914,Laura Llorente Olivares,A
372,Q4232915A,Antònia Colomer Blanca,F
373,G07621824,Sara Ángel Nieto,C
374,B88818059,Martina María Carreño Villaverde,D
375,A09069840,Leo Abellán,A
376,N2759694I,María Dolores Júlia Montenegro Ramón,A
377,U7038519J,Ana Cortina Rubio,C
378,R1153706E,Carlos Capdevila,B
379,E50536853,Max Aragonés Cabello,F
380,S3409072J,Adam del Lara,C
381,V4046368I,María Dolores Mendez Sebastián,C
382,F8971698I,Ramón Rozas Baró,E
383,F9340007E,Chlóe Moliner,F
384,H42115923,Clàudia Perea Bermudez,E
385,R4624337D,Anna del Otero,A
386,G07621824,Sara Ángel Nieto,F
387,H73279598,Jordi Manrique Verdugo,B
388,H04319513,Lucia Castells Huerta,D
389,A51927812,Lucas Jordi Rodriguez Lobo,F
390,C26701623,Arnau Bertrán Aragón,F
391,W8604747I,Lucia Ribas Dalmau,F
392,U3398151E,Lucia Rincón Rosales,D
393,U1774374A,Martina Solano Roma,E
394,C17131251,Lucia Uribe,D
395,W5008386D,Laura Montes Céspedes,C
396,H49305378,Antonio Sanjuan Belda,B
397,U7308622E,Mia Palomares-Torrijos,F
398,U8112016D,Joan Villalobos Carnero,B
399,D96545363,Jorge Adam Conesa Nevado,F
400,R8192469H,Enzo Escalona Morales,E
401,Q4232915A,Antònia Colomer Blanca,F
402,F8773593B,David Sainz-Royo,F
403,H13226295,Pau Rosado Palomar,B
404,H60091485,Sofía Collado Botella,C
405,C40980427,Nil Adam Leon Jaén,E
406,E73982548,Júlia Palomino Company,D
407,Q7554170F,José María Cuenca-Pera,D
408,G96947643,María Del Carmen Esparza Godoy,A
409,J5950441E,Chlóe del Villalba,D
410,Q7186100I,Èric Cifuentes,F
411,P3351363A,María Dolores Montesinos Marin,D
412,G96947643,María Del Carmen Esparza Godoy,B
413,G76937929,María Dolores Sofía Salvador Teruel,A
414,S5329165D,Hugo Sanz Amat,A
415,Q2116390B,Francisca Marta Arias Ferrero,A
416,G44377703,Noa Mate Diego,F
417,H48271738,Laia Oliveras Puente,B
418,H59430249,Júlia Aramburu Delgado,A
419,A84080670,Joan de Olmedo,B
420,F7513084I,Martí Rocamora Bilbao,B
421,A84080670,Joan de Olmedo,F
422,B48122808,Sara Jaume Lobo,D
423,S0085490A,Ona Salvà Pizarro,B
424,C78976982,Pau del Avilés,C
425,P2199273J,Enzo de Osorio,E
426,G90306762,Èric Blázquez Gil,E
427,V2738762J,Bruno Adam Bonet Pulido,F
428,H31037914,Laura Llorente Olivares,C
429,S9346078J,Francisco Pareja Peinado,B
430,R6463216I,Ona Ona Roma Prieto,A
431,N7359672H,Daniel Bartolomé Vilar,D
432,N9624314B,Júlia Vera-Bueno,A
433,E20240735,Enzo de Garrido,C
434,P2302883J,Èric Font Vargas,A
435,Q0552283D,Clàudia Verdú-Montalbán,E
436,S8037889F,Arlet Torre Ponce,C
437,C27618396,Rosa Mariño,B
438,D43493675,Èric Marin Comas,B
439,F7093027F,Bruno Valderrama-Gutierrez,E
440,C78976982,Pau del Avilés,D
441,C06753156,Lucas Paniagua Llano,D
442,D05154323,Paula Tomás Bello,E
443,D33698531,Aina Ferrán-Dávila,F
444,E55193205,Laia Boix Montenegro,B
445,E25161068,Marta Oliver Alfaro,F
446,R7687550I,Juan Pozuelo Vila,B
447,B22399109,Clàudia Valdés Jover,A
448,H46432969,Antònia Noa Pedrero Diéguez,F
449,N6209101B,Francisco Dueñas,A
450,H23073786,Anna Armas Moles,D
451,V4258212B,Marc Dominguez Barberá,D
452,S5329165D,Hugo Sanz Amat,A
453,F5675046F,José Carballo Gutierrez,E
454,A94611183,Antònia Frías Macías,E
455,N3380714J,Clàudia Espejo Benitez,F
456,V7809521C,Antònia Anna Saez Belda,E
457,G29421625,Isabel Aramburu Baquero,B
458,F8100344D,Abril Macías Guardiola,A
459,B11913498,Pedro Ricart Cantón,D
460,F8025276J,Carla Ribas Ariño,A
461,J3353939F,Isabel Varela,E
462,P4346331D,Bruno Joan Fernandez Rozas,C
463,E73982548,Júlia Palomino Company,C
464,V2015246H,Martí Agullo-Campos,A
465,E48027734,Francisco Arnau Calderón Ángel,B
466,J4450361C,Júlia Cano Amorós,B
467,D65605370,Martina Velasco Soriano,A
468,G71220651,Júlia Gras Porta,E
469,B48122808,Sara Jaume Lobo,E
470,E01391861,José Pi Alvarez,D
471,Q5285042G,Manuel Galiano Teruel,C
472,A51927812,Lucas Jordi Rodriguez Lobo,A
473,B80106230,Martina Barberá Cabrero,F
474,Q7967239J,Paula Agustín Gimeno,E
475,N3184593F,Antonio Peralta Angulo,F
476,S0085490A,Ona Salvà Pizarro,D
477,G68200534,Martina Cano Pineda,F
478,A35443936,Pol Salgado Buendía,D
479,V8231148A,Ona de Arjona,A
480,Q0552283D,Clàudia Verdú-Montalbán,C
481,E99188005,Biel Alcalde Samper,F
482,V4665297J,Juan Cruz Pallarès,A
483,N3620309I,Dolores Gelabert,C
484,P2473520A,Sílvia Carnero Bas,F
485,G08809550,Biel Alberto Berrocal,A
486,Q6050189G,María Ordóñez Llamas,E
487,P1659317J,Hugo Castrillo Otero,D
488,B43465343,Hugo Alberto Girón,F
489,N9882065G,Francisca Luís Aller,F
490,J2907838C,Carmen Marta Cruz Carpio,F
491,N8152756F,Laia Batalla-Villalba,B
492,W4699949F,Mia Catalán Barros,A
493,S8355279D,Antonia Bermejo Bayo,B
494,D07727019,Álex Hervia Vazquez,C
495,P6057674A,María Del Carmen Valèria Raya Mena,B
496,P5810009J,Ramón Donoso Aguilar,B
497,S1410175B,Lucas Frutos Andrés,B
498,W9727961F,Albert Cerdán Chamorro,E
499,G29421625,Isabel Aramburu Baquero,F
500,C40980427,Nil Adam Leon Jaén,C
501,F8773593B,David Sainz-Royo,E
502,N9805030E,Laia Real Sanmartín,C
503,B43837079,Laura Marquez Izquierdo,F
504,H70835210,Joan de Cañas,D
505,J6049614H,Júlia Sevillano Palomar,E
506,U5982724F,Jorge Manzano-Oliver,F
507,P3798114I,Ana de Larrea,D
508,G52644184,Martí Enzo Pujadas Pedrero,B
509,J3512655F,Enzo Escolano Sanmiguel,B
510,R8469182C,Nil Marc Blanco Barroso,F
511,J6049614H,Júlia Sevillano Palomar,D
512,D05154323,Paula Tomás Bello,B
513,S1410175B,Lucas Frutos Andrés,D
514,H19110485,María de Villena,A
515,H19110485,María de Villena,E
516,G71220651,Júlia Gras Porta,B
517,N7185603C,Arlet Chaves Roldan,F
518,N4056672A,Carmen Emma Iñiguez Azcona,C
519,S1471928J,Carla Ferrán Tenorio,A
520,G36745990,Marc Blanco Valderrama,A
521,Q0041000A,David Chaves Cantero,A
522,C04838918,Valèria Urrutia Cal,D
523,G26937243,Josefa Moll Piñeiro,E
524,D05154323,Paula Tomás Bello,C
525,F5675046F,José Carballo Gutierrez,F
526,G45806411,Hugo Torres Iborra,F
527,H65400632,Abril Cáceres Manjón,B
528,S0085490A,Ona Salvà Pizarro,C
529,Q4232915A,Antònia Colomer Blanca,D
530,R4624337D,Anna del Otero,C
531,N9318716I,Pedro Valderrama Marí,F
532,Q7967239J,Paula Agustín Gimeno,F
533,W9727961F,Albert Cerdán Chamorro,D
534,R5656344H,Carla Linares Escolano,C
535,G92617570,Carmen del Martín,F
536,F1405226J,Adam Abella Valle,E
537,S0397959H,María Dolores Arroyo Saez,B
538,G92617570,Carmen del Martín,E
539,U7308622E,Mia Palomares-Torrijos,F
540,E96573001,Sara Gárate Nuñez,F
541,J4450361C,Júlia Cano Amorós,C
542,F6441455J,Carla Hernández Estrada,F
543,F2431907A,Sílvia Pino Torrent,B
544,E48027734,Francisco Arnau Calderón Ángel,D
545,N5762693I,Josep Ramírez,E
546,S7366447F,Carlos Crespi Perales,C
547,C40980427,Nil Adam Leon Jaén,F
548,H59430249,Júlia Aramburu Delgado,A
549,W1247153H,Martina Nuñez Estevez,C
550,D64321540,María Dolores del Boada,B
551,S1410175B,Lucas Frutos Andrés,C
552,C56963325,Abril Díez,B
553,B52401858,José Buendía-Sarabia,C
554,P0280894G,Leo Gaya Laguna,E
555,W9218380E,Pol del Sanjuan,B
556,E99188005,Biel Alcalde Samper,C
557,P3531278D,Èric de Agustí,A
558,Q5177739I,Josefa de Muro,B
559,H44219327,David de Carretero,F
560,G65300782,Juan Rodrigo-Mercader,D
561,N0515267C,Noa Ochoa Bartolomé,F
562,F6017604G,Biel Sedano Oliveras,A
563,U1774374A,Martina Solano Roma,D
564,C70021340,Arnau Álex Villanueva Ojeda,C
565,B19312776,Aleix Doménech Pombo,C
566,B21983689,Josep de Ibarra,D
567,N3184593F,Antonio Peralta Angulo,E
568,G07621824,Sara Ángel Nieto,F
569,V2665575C,Xavier Collado Domínguez,F
570,V7809521C,Antònia Anna Saez Belda,E
571,Q9771076H,Valèria Tomas Ramírez,F
572,W7861640F,Aleix de Fiol,A
573,H73279598,Jordi Manrique Verdugo,A
574,P7917625A,Joan Ferrera Canals,E
575,H64288004,Abril Samper Ibáñez,C
576,S8037889F,Arlet Torre Ponce,A
577,P6887458E,Nil del Morillo,B
578,W9218380E,Pol del Sanjuan,C
579,D03554946,Joan Azcona,D
580,D62147475,Josep Blázquez,F
581,P7187021F,Antònia Paula Juliá Jaén,D
582,N8243349A,Paula Sáez Ripoll,D
583,C97387187,Sara de Jover,B
584,F8773593B,David Sainz-Royo,A
585,P0546131D,José María Bru Cuesta,A
586,E63638506,Bruno Andreu-Andrade,D
587,Q0552283D,Clàudia Verdú-Montalbán,E
588,F6804250F,María Dolores Ferrández Colom,D
589,J2410709F,Júlia Montenegro Muro,E
590,A42249482,Marta del Bernat,D
591,S7995912H,Josefa Laura Llorens Villanueva,E
592,R5715872G,Emma de Almagro,B
593,V7809521C,Antònia Anna Saez Belda,E
594,J1443172J,Pau Javier Lara Tur,E
595,B27774157,Jordi Revilla,F
596,V8982148B,Carlos Carlos Espejo,C
597,N3504030B,Antònia Marquez Rebollo,C
598,N3620309I,Dolores Gelabert,F
599,A94611183,Antònia Frías Macías,E
600,B82071457,Noa Coello Mendoza,F
601,N4218554F,Francisco Sanz Perea,D
602,P7917625A,Joan Ferrera Canals,F
603,H42115923,Clàudia Perea Bermudez,D
604,H03012952,Mia Méndez Ribes,B
605,Q5177739I,Josefa de Muro,F
606,B11913498,Pedro Ricart Cantón,F
607,Q4232915A,Antònia Colomer Blanca,A
608,P6887458E,Nil del Morillo,C
609,R1233513I,Cristina Fábregas Domingo,A
610,H59430249,Júlia Aramburu Delgado,A
611,G45806411,Hugo Torres Iborra,D
612,B82071457,Noa Coello Mendoza,A
613,S3651419H,Enzo Carnero-Aliaga,F
614,V2665575C,Xavier Collado Domínguez,B
615,C78976982,Pau del Avilés,A
616,R5336309I,Rosa Torralba Rozas,D
617,G99523896,Pau Ros Pallarès,B
618,H23653579,Manuel David Rosado Acero,B
619,B95922167,Miguel Prieto Ribera,A
620,C94387792,Paula Rosa Perea,B
621,H31037914,Laura Llorente Olivares,D
622,R5672939E,Cristina Laia Bonilla Alvarado,A
623,N9318716I,Pedro Valderrama Marí,D
624,F8773593B,David Sainz-Royo,E
625,N1790348E,Arlet Huguet Coloma,D
626,V2447244A,Jordi Vilar Fortuny,B
627,H45996352,Antonia Canals Coloma,D
628,H65400632,Abril Cáceres Manjón,F
629,J7904048A,Èric Portillo Ferrera,D
630,H37157526,Arlet Sala Narváez,E
631,J7397889B,Montserrat Cánovas,A
632,S1471928J,Carla Ferrán Tenorio,D
633,E65877607,Antonia Carlos Valderrama,F
634,P3531278D,Èric de Agustí,F
